<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	1566.17	1576.66	1564.97	1573.14	296	0	45
2025.01.01	00:10:00	1572.91	1578.69	1564.08	1567.25	297	0	45
2025.01.01	00:20:00	1567.85	1569.50	1561.45	1564.18	297	0	45
2025.01.01	00:30:00	1564.69	1572.22	1564.69	1570.75	295	0	45
2025.01.01	00:40:00	1570.59	1580.33	1569.14	1576.41	299	0	45
2025.01.01	00:50:00	1576.79	1583.87	1576.44	1583.66	298	0	45
2025.01.01	01:00:00	1583.78	1586.39	1581.16	1584.76	297	0	45
2025.01.01	01:10:00	1584.33	1590.56	1577.37	1578.26	295	0	45
2025.01.01	01:20:00	1578.25	1582.57	1575.65	1581.82	297	0	45
2025.01.01	01:30:00	1581.17	1591.93	1581.17	1586.18	296	0	45
2025.01.01	01:40:00	1586.68	1590.54	1585.04	1588.05	297	0	45
2025.01.01	01:50:00	1588.39	1589.98	1581.99	1584.02	298	0	45
2025.01.01	02:00:00	1584.37	1592.72	1582.11	1588.16	296	0	45
2025.01.01	02:10:00	1588.72	1601.26	1586.30	1593.91	297	0	45
2025.01.01	02:20:00	1594.22	1603.69	1594.22	1603.02	296	0	45
2025.01.01	02:30:00	1602.71	1606.53	1593.42	1605.93	298	0	45
2025.01.01	02:40:00	1606.09	1613.21	1603.23	1610.42	297	0	45
2025.01.01	02:50:00	1610.20	1625.13	1609.04	1622.73	299	0	45
2025.01.01	03:00:00	1622.95	1624.88	1619.13	1621.66	294	0	45
2025.01.01	03:10:00	1622.15	1622.86	1614.55	1616.47	298	0	45
2025.01.01	03:20:00	1616.61	1618.74	1610.05	1616.77	297	0	45
2025.01.01	03:30:00	1616.31	1626.23	1615.86	1624.83	298	0	45
2025.01.01	03:40:00	1624.87	1625.63	1616.67	1618.06	296	0	45
2025.01.01	03:50:00	1618.16	1619.01	1608.95	1609.35	298	0	45
2025.01.01	04:00:00	1609.56	1619.53	1607.92	1616.00	297	0	45
2025.01.01	04:10:00	1616.68	1623.10	1614.86	1620.75	295	0	45
2025.01.01	04:20:00	1621.15	1623.25	1605.31	1606.06	300	0	45
2025.01.01	04:30:00	1606.00	1610.95	1604.68	1606.32	298	0	45
2025.01.01	04:40:00	1606.28	1621.45	1606.14	1619.61	296	0	45
2025.01.01	04:50:00	1619.36	1621.32	1614.37	1614.50	299	0	45
2025.01.01	05:00:00	1614.12	1614.29	1606.21	1611.75	295	0	45
2025.01.01	05:10:00	1610.89	1622.23	1607.96	1620.03	297	0	45
2025.01.01	05:20:00	1620.38	1627.29	1618.57	1626.42	296	0	45
2025.01.01	05:30:00	1626.14	1641.27	1625.28	1638.36	297	0	45
2025.01.01	05:40:00	1637.99	1641.66	1634.92	1639.84	299	0	45
2025.01.01	05:50:00	1639.50	1644.84	1635.93	1640.37	299	0	45
2025.01.01	06:00:00	1640.51	1656.28	1639.96	1652.84	298	0	45
2025.01.01	06:10:00	1652.93	1653.45	1642.50	1646.47	297	0	45
2025.01.01	06:20:00	1647.06	1649.88	1638.31	1640.88	298	0	45
2025.01.01	06:30:00	1641.03	1641.08	1629.36	1629.36	295	0	45
2025.01.01	06:40:00	1629.65	1636.83	1624.36	1635.14	299	0	45
2025.01.01	06:50:00	1634.98	1638.49	1626.57	1626.94	299	0	45
2025.01.01	07:00:00	1626.73	1639.13	1625.49	1634.80	298	0	45
2025.01.01	07:10:00	1634.78	1638.45	1630.39	1638.10	298	0	45
2025.01.01	07:20:00	1638.95	1641.65	1633.49	1638.51	298	0	45
2025.01.01	07:30:00	1638.93	1649.84	1636.39	1645.66	298	0	45
2025.01.01	07:40:00	1645.42	1657.58	1644.07	1653.65	300	0	45
2025.01.01	07:50:00	1653.94	1657.12	1650.91	1655.78	298	0	45
2025.01.01	08:00:00	1655.69	1656.09	1637.81	1637.81	299	0	45
2025.01.01	08:10:00	1637.44	1641.38	1631.93	1636.08	298	0	45
2025.01.01	08:20:00	1635.90	1639.03	1630.13	1634.81	300	0	45
2025.01.01	08:30:00	1635.29	1647.66	1634.19	1643.31	296	0	45
2025.01.01	08:40:00	1643.58	1646.43	1636.93	1638.67	297	0	45
2025.01.01	08:50:00	1638.44	1638.91	1632.63	1634.63	295	0	45
2025.01.01	09:00:00	1634.69	1643.76	1631.14	1641.63	299	0	45
2025.01.01	09:10:00	1642.04	1648.39	1635.20	1647.15	296	0	45
2025.01.01	09:20:00	1646.27	1663.70	1640.72	1661.50	298	0	45
2025.01.01	09:30:00	1661.98	1663.38	1656.79	1658.91	297	0	45
2025.01.01	09:40:00	1659.93	1671.90	1658.29	1664.49	297	0	45
2025.01.01	09:50:00	1665.37	1673.70	1665.37	1670.75	297	0	45
2025.01.01	10:00:00	1671.60	1675.93	1663.15	1671.39	299	0	45
